"mdl_url","title_en","title_zh","genres","Action","Adventure","Business","Comedy","Crime","Documentary","Drama","Family","Fantasy","Food","Historical","Horror","Law","Life","Martial Arts","Medical","Melodrama","Military","Music","Mystery","Political","Psychological","Romance","Sci-Fi","Sitcom","Sports","Supernatural","Thriller","Tokusatsu","War","Wuxia","Youth"
"/66455-moonlight","Moonlight","月光变奏曲","Business, Comedy, Romance, Drama",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/13857-love-me-if-you-dare","Love Me If You Dare","他来了, 请闭眼","Thriller, Mystery, Psychological, Romance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
"/40353-maiden-holmes","Maiden Holmes","少女大人","Historical, Mystery, Comedy, Romance",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"/15338-the-princess-wei-young","The Princess Wei Young","锦绣未央","Historical, Romance, Drama, Political",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"/685039-my-calorie-boy","My Calorie Boy","我的卡路里男孩","Comedy, Romance, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/38807-yu-sheng-qing-duo-zhi-jiao","The Oath of Love","余生，请多指教","Romance, Life, Youth, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/733265-immortal-samsara-part-2","Immortal Samsara: Part 2","沉香重华","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/69073-love-me-like-a-child","My Fated Boy","我的邻居长不大","Comedy, Romance, Life",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/18756-ruyis-royal-love-in-the-palace","Ruyi's Royal Love in the Palace","如懿传","Historical, Romance, Drama, Melodrama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/54889-mr-perfect-and-miss-almost","Perfect and Casual","完美先生和差不多小姐","Comedy, Romance, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/32804-my-girlfriend-is-an-alien","My Girlfriend Is an Alien","外星女生柴小七","Comedy, Romance, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/688445-fei-hu-wai-zhuan","Side Story of Fox Volant","飞狐外传","Wuxia, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/61135-don-t-think-of-interrupting-my-studies","Don't Disturb My Study","别想打扰我学习","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/24644-a-love-so-beautiful","A Love So Beautiful","致我们单纯的小美好","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/65743-alien-girl-chai-xiao-qi-2","My Girlfriend Is an Alien Season 2","外星女生柴小七2","Comedy, Romance, Sci-Fi, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"/15031-love-o2o","Love O2O","微微一笑很倾城","Business, Comedy, Romance, Drama",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/51651-i-don-t-want-to-be-friends-with-you","I Don't Want to Be Friends With You","我才不要和你做朋友呢","Comedy, Romance, Youth, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/684207-delicious-romance","Delicious Romance","爱很美味","Romance, Life, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/30581-the-lost-tomb-3","Reunion: The Sound of the Providence","重啟之極海聽雷","Adventure, Mystery, Horror, Fantasy",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/36671-a-little-reunion","A Little Reunion","小欢喜","Life, Youth, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/688487-be-reborn","Be Reborn","重生之门","Thriller, Mystery, Crime",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/61891-jun-jiu-ling","Jun Jiu Ling","君九龄","Historical, Mystery, Romance, Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"/733007-the-evil-face","A Familiar Stranger","虚颜","Historical, Romance, Supernatural",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"/31998-novoland-pearl-eclipse","Novoland: Pearl Eclipse","斛珠夫人","Romance, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/58945-jin-xin-si-yu","The Sword and the Brocade","锦心似玉","Historical, Mystery, Romance, Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"/49953-my-love-enlighten-me","My Love, Enlighten Me","暖暖请多指教","Comedy, Romance, Life",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/21684-good-bye-my-princess","Good Bye, My Princess","东宫","Romance, Wuxia, Drama, Political",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
