"mdl_url","title_en","year","eps","title_zh","genres","tags"
"/27178-ever-night","Ever Night",2018,60,"将夜","Romance, Wuxia, Drama, Fantasy","Revenge, Adapted From A Novel, Strong Male Lead, Xianxia, Hidden Identity, Sword-fight, Slow Burn Romance, Nice Female Lead, Fantasy World, Action"
"/34030-skate-into-love","Skate Into Love",2020,40,"冰糖炖雪梨","Comedy, Romance, Youth, Sports","Sassy Female Lead, Love/Hate Relationship, Enemies To Lovers, Love Triangle, Speed Skating, Unrequited Love, Disapproving Parent, Strong Female Lead, Character Development, Competition"
"/59749-goodbye-my-princess-director-s-cut","Goodbye My Princess: Director's Cut",2019,55,"东宫","Historical, Romance, Drama, Political","Jerk Male Lead, Scheme, Power Struggle, Tearjerker, Heartbreak, Desert Setting, Princess Supporting Character, Empress Dowager Supporting Character, Emperor Supporting Character, Empress Supporting Character"
"/63959-sweet-teeth","Sweet Teeth",2021,22,"世界微尘里","Comedy, Romance, Drama, Medical","Multiple Couples, Sismance, Friendship, Doctor-Patient Relationship, Older Woman/Younger Man, Nice Male Lead, Slow Burn Romance, Adapted From A Novel, Love/Hate Relationship, Shy Male Lead"
"/686115-chi-dao","Falling Into You",2022,26,"炽道","Romance, Drama, Sports","Older Woman/Younger Man, Male Chases Female First, Athlete Male Lead, Hardship, Chasing A Dream, Jealous Male Lead, Hardworking Male Lead, First Love, Adapted From A Novel, Competition"
"/53549-fall-in-love","Fall In Love",2021,36,"一见倾心","Historical, Mystery, Romance, Political","Chinese Republican Era, Smart Female Lead, Smart Male Lead, Multiple Couples, Military, Investigation, Death, Coup D'Etat, Separated Family, Evil Step Sister"
"/61969-qiao-jia-de-er-nu","The Bond",2021,36,"乔家的儿女","Life, Drama","Multiple Mains, Time Skip, Selfish Father, Chinese Communist Party, Parental Neglect, Self-sacrifice, Child Neglect, 1980s, 1970s, 1990s"
"/28037-emperor-phoenix","The Rebel Princess",2021,68,"上阳赋","Historical, Romance, Drama, Melodrama","Power Struggle, Arranged Marriage, Adapted From A Novel, Political, War, General, Badass Male Lead, Ambition, Nice Male Lead, Royal Family"
"/31385-put-your-head-on-my-shoulder","Put Your Head on My Shoulder",2019,24,"致我们暖暖的小时光","Comedy, Romance, Life, Youth","Cohabitation, Height Difference, Male Chases Female First, Supportive Parent, First Love, Hardworking Female Lead, Bright Female Lead, Naive Female Lead, Strong Female Lead, Web Series"
"/64085-yu-jiao-ji","The Blue Whisper: Part 1",2022,22,"与君初相识","Romance, Wuxia, Fantasy","Xianxia, Torture, Xuanhuan, Demon, Strong Female Lead, Badass Female Lead, Smart Female Lead, Interspecies Romance, Nice Male Lead, Misunderstanding"
"/52895-love-scenery","Love Scenery",2021,31,"良辰美景好时光","Music, Comedy, Romance","Older Woman/Younger Man, Student, Nice Male Lead, Popular Female Lead, Male Chases Female First, Successful Female Lead, Steamy Kiss, First Love, Famous Lead/Common Lead, Gaming"
"/72025-chen-xiang-ru-xie","Immortal Samsara: Part 1",2022,38,"沉香如屑","Romance, Wuxia, Drama, Fantasy","Xianxia, Adapted From A Novel, Love Triangle, Star Crossed Lovers, Strong Male Lead, Strong Female Lead, Cold Man/Warm Woman, Martial Arts, Adventure, Reincarnated Lovers"
"/33701-douluo-continent","Douluo Continent",2021,40,"斗罗大陆","Comedy, Romance, Wuxia, Fantasy","Teamwork, Fantasy World, Friendship, Xuanhuan, Hardworking Male Lead, Competition, Multiple Couples, Cultivation, Childish Female Lead, Martial Soul/Spirit"
"/63989-crush","Crush",2021,24,"原来我很爱你","Romance, Life, Youth, Drama","Female Chases Male First, Rich Male Lead, Music, Bright Female Lead, Lovers Separated, Blind Male Lead, Radio, Love At First Sight, Cold Man/Warm Woman, Adapted From A Novel"
"/710595-hi-venus","Hi Venus",2022,24,"我可能遇到了救星","Comedy, Romance, Life, Medical","Hospital Setting, Hospital Director Male Lead, Healthy Mains’ Relationship, Supportive Family, Secondary Couple, Fluffy, Misunderstanding, Nice Male Lead, Character Development, Doctor Female Lead"
"/34129-my-roommate-is-a-detective","My Roommate Is a Detective",2020,36,"民国奇探","Thriller, Historical, Mystery, Comedy","Investigation, Smart Male Lead, Friendship, Murder, Bromance, Chinese Republican Era, Slight Romance, Eccentric Male Lead, Sassy Female Lead, Love/Hate Relationship"
"/20284-medical-examiner-dr.-qin","Medical Examiner Dr. Qin",2016,20,"法医秦明","Mystery, Drama, Medical","Eccentric Male Lead, Eccentric Female Lead, Smart Female Lead, Adapted From A Novel, Smart Male Lead, Bromance, Forensic Medical Examiner Male Lead, Detective Male Lead, Murder, Investigation"
"/29240-the-fate-of-chen-xi","Love and Destiny",2019,60,"宸汐缘","Romance, Wuxia, Drama, Fantasy","Xianxia, Dragon, Power Struggle, Older Man/Younger Woman, Strong Male Lead, Multiple Couples, Lovers Separated, Female Chases Male First, Interspecies Romance, Chinese Mythology"
